pop	PopSampNum
14	1
2	8
1	4
2	4
2	20
3	9
6	7
11	9
1	2
3	5
2	6
2	9
2	16
4	1
11	4
6	18
2	2
2	18
6	17
2	5
2	10
1	10
6	10
7	13
1	9
4	4
1	3
6	14
2	12
2	19
9	5
3	4
6	20
3	10
6	19
4	8
4	5
11	13
6	16
11	17
1	8
1	19
13	6
4	15
4	6
1	11
6	11
3	15
6	12
4	12
1	12
1	13
3	14
14	3
5	11
14	4
3	12
4	17
1	5
3	11
3	8
2	14
5	12
6	15
4	9
11	10
14	2
5	17
3	20
4	2
1	15
1	1
1	20
3	6
3	3
3	17
11	11
9	11
3	19
2	15
8	17
6	8
7	19
4	3
3	1
5	10
1	7
7	12
3	16
11	5
7	8
7	3
9	2
9	1
7	16
13	9
6	13
6	6
5	18
13	10
12	20
11	6
7	5
11	12
1	18
11	2
13	11
2	3
3	13
13	8
1	16
5	3
5	2
5	20
7	14
13	5
13	12
6	9
11	15
12	18
2	17
1	14
13	20
6	3
5	19
12	6
7	6
9	3
13	17
10	8
2	7
4	7
14	9
8	2
13	3
14	8
12	8
7	11
8	6
2	1
3	2
8	1
12	16
10	12
8	7
7	20
4	13
9	4
13	19
12	10
7	1
1	17
2	13
13	4
11	1
13	2
13	14
6	4
12	4
14	6
7	15
5	7
9	9
10	3
7	2
11	3
11	16
5	1
12	5
3	18
12	2
12	9
8	4
12	7
1	6
7	4
8	18
12	17
11	19
12	1
11	20
13	18
8	19
4	10
11	8
11	7
3	7
5	15
7	10
12	19
9	16
6	1
10	6
12	14
5	14
2	11
14	7
12	12
13	1
6	5
5	16
9	6
10	4
8	11
14	5
4	20
11	18
8	5
12	15
9	19
8	10
7	7
10	7
4	19
8	14
4	14
8	20
5	5
7	18
9	8
8	8
9	10
13	7
9	18
8	12
8	16
8	13
7	17
7	9
13	13
